bandwidth,delay_ms,rate_index,iterations,avg_throughput_mbps,std_throughput_mbps,min_throughput_mbps,max_throughput_mbps,avg_retransmits,total_retransmits,packet_loss_pct
50,50,36,3,47.19,0.31,46.75,47.42,12.3,37,0
50,50,37,3,47.43,0.0,47.43,47.43,24.3,73,0
50,50,44,3,46.34,1.54,44.16,47.44,561.7,1685,0
50,50,45,3,47.43,0.01,47.42,47.44,27.7,83,0
50,50,46,3,47.42,0.01,47.41,47.44,53.0,159,0
50,50,47,3,47.43,0.01,47.42,47.44,62.7,188,0
50,50,94,3,47.42,0.0,47.42,47.43,27.3,82,0
50,50,95,3,43.77,5.15,36.48,47.43,43.7,131,0
50,50,96,3,47.42,0.0,47.41,47.42,64.0,192,0
50,50,97,3,42.32,7.22,32.11,47.43,658.0,1974,0
50,50,104,3,47.42,0.01,47.42,47.43,79.7,239,0
50,50,105,3,42.97,6.31,34.04,47.43,605.7,1817,0
50,50,106,3,47.42,0.01,47.42,47.43,56.0,168,0
50,50,107,3,47.41,0.04,47.35,47.44,62.3,187,0
50,100,34,3,27.03,6.18,18.33,32.08,252.0,756,0
50,100,35,3,41.17,1.08,39.71,42.29,23.3,70,0
50,100,36,3,42.38,6.33,33.42,46.87,659.7,1979,0
50,100,37,3,46.84,0.03,46.8,46.88,33.7,101,0
50,100,44,3,46.89,0.01,46.87,46.9,63.0,189,0
50,100,45,3,46.9,0.01,46.88,46.91,69.0,207,0
50,100,46,3,44.73,3.05,40.43,46.89,610.0,1830,0
50,100,47,3,46.86,0.01,46.85,46.87,123.0,369,0
50,100,94,3,46.82,0.07,46.71,46.88,14.7,44,0
50,100,95,3,40.32,9.28,27.2,46.89,583.3,1750,0
50,100,96,3,46.87,0.03,46.82,46.9,119.3,358,0
50,100,97,3,40.22,9.29,27.08,46.88,657.3,1972,0
50,100,104,3,46.88,0.02,46.87,46.91,96.7,290,0
50,100,105,3,46.86,0.04,46.8,46.89,70.3,211,0
50,100,106,3,46.9,0.01,46.88,46.9,66.0,198,0
50,100,107,3,45.14,2.48,41.63,46.91,645.3,1936,0
nolim,10,34,3,33.65,0.39,33.11,34.02,6.3,19,0
nolim,10,35,3,43.4,0.57,42.87,44.19,6.7,20,0
nolim,10,36,3,47.73,1.82,45.21,49.43,29.7,89,0
nolim,10,37,3,53.77,0.43,53.28,54.32,7.0,21,0
nolim,10,44,3,64.32,0.5,63.64,64.82,6.7,20,0
nolim,10,45,3,83.44,0.89,82.33,84.5,7.0,21,0
nolim,10,46,3,91.67,1.5,90.19,93.72,6.3,19,0
nolim,10,47,3,95.32,8.41,83.6,102.95,70.7,212,0
nolim,10,94,3,67.01,0.84,66.31,68.19,7.0,21,0
nolim,10,95,3,85.72,1.62,84.16,87.96,6.7,20,0
nolim,10,96,3,95.83,2.29,93.88,99.05,6.7,20,0
nolim,10,97,3,107.89,0.25,107.64,108.23,7.0,21,0
nolim,10,104,3,118.83,9.82,104.95,126.06,121.3,364,0
nolim,10,105,3,158.75,0.48,158.33,159.41,6.0,18,0
nolim,10,106,3,175.86,0.26,175.49,176.08,6.0,18,0
nolim,10,107,3,175.49,14.12,155.54,186.13,25.7,77,0
nolim,50,34,3,33.17,0.51,32.55,33.8,6.3,19,0
nolim,50,35,3,39.75,6.25,30.9,44.21,96.7,290,0
nolim,50,36,3,48.62,0.17,48.38,48.77,9.3,28,0
nolim,50,37,3,47.76,6.24,39.0,53.09,249.7,749,0
nolim,50,44,3,64.11,0.08,64.01,64.19,12.0,36,0
nolim,50,45,3,78.54,2.35,75.6,81.36,79.3,238,0
nolim,50,46,3,87.0,3.5,82.49,91.01,352.0,1056,0
nolim,50,47,3,97.18,1.96,94.63,99.41,8.0,24,0
nolim,50,94,3,63.41,1.23,62.21,65.1,4.7,14,0
nolim,50,95,3,81.92,2.07,80.39,84.84,10.7,32,0
nolim,50,96,3,91.62,1.69,89.27,93.18,8.0,24,0
nolim,50,97,3,84.7,18.37,58.8,99.44,292.3,877,0
nolim,50,104,3,113.48,0.83,112.37,114.35,8.0,24,0
nolim,50,105,3,117.52,33.91,69.74,144.98,592.7,1778,0
nolim,50,106,3,161.91,3.99,156.59,166.18,895.0,2685,0
nolim,50,107,3,161.01,20.87,131.54,177.06,1575.3,4726,0
nolim,100,34,3,30.88,1.54,28.71,32.15,10.3,31,0
nolim,100,35,3,42.25,0.18,42.08,42.5,22.3,67,0
nolim,100,36,3,38.24,8.64,26.04,44.91,347.7,1043,0
nolim,100,37,3,51.34,0.58,50.62,52.03,7.7,23,0
nolim,100,44,3,49.17,11.66,32.69,58.04,434.0,1302,0
nolim,100,45,3,69.72,4.24,65.52,75.52,10.7,32,0
nolim,100,46,3,81.9,2.92,78.78,85.81,12.3,37,0
nolim,100,47,3,92.66,3.87,88.12,97.57,187.3,562,0
nolim,100,94,3,60.54,1.23,58.8,61.55,189.0,567,0
nolim,100,95,3,76.47,2.79,74.24,80.41,10.7,32,0
nolim,100,96,3,87.35,0.88,86.14,88.19,8.7,26,0
nolim,100,97,3,81.95,16.8,59.84,100.52,596.0,1788,0
nolim,100,104,3,112.73,2.52,109.2,114.88,49.0,147,0
nolim,100,105,3,108.73,40.1,52.91,145.32,815.0,2445,0
nolim,100,106,3,145.19,7.69,136.19,154.98,718.7,2156,0
nolim,100,107,3,131.45,33.53,84.82,162.21,1555.3,4666,0
