Rate,Rate_Name,Bandwidth,Delay,TCP-AAD_Avg_Mbps,Default_Avg_Mbps,Improvement_%
94,HT40-SGI-MCS4,50,10,48.41741784763952,48.603874313931605,-0.38362469849166014
94,HT40-SGI-MCS4,50,50,48.289211791939856,48.289144640401894,0.00013906135315147917
94,HT40-SGI-MCS4,50,100,40.961283630744134,40.97398724514873,-0.03100409615639055
94,HT40-SGI-MCS4,50,nodelay,48.20898977563171,48.290227448556145,-0.16822797741216003
94,HT40-SGI-MCS4,100,10,54.83625973970173,67.31419049946444,-18.536850353807623
94,HT40-SGI-MCS4,100,50,53.870016858826475,65.45082281265735,-17.69390430274514
94,HT40-SGI-MCS4,100,100,48.23231629564872,61.268175815664335,-21.276722126077658
94,HT40-SGI-MCS4,100,nodelay,56.456639647324316,65.64777326994447,-14.00067841574168
94,HT40-SGI-MCS4,nolim,10,61.15133970554463,67.49994325739247,-9.40534650175807
94,HT40-SGI-MCS4,nolim,50,54.16096222763229,65.46194010130237,-17.26343254749526
94,HT40-SGI-MCS4,nolim,100,52.37914313755018,52.42489868570288,-0.08727827673451737
94,HT40-SGI-MCS4,nolim,nodelay,63.783138315575535,66.68517253575702,-4.351843310633101
95,HT40-SGI-MCS5,20,10,19.408398208996847,19.362170362264795,0.23875343449175357
95,HT40-SGI-MCS5,20,50,19.827868415330325,19.74675557859673,0.4107653857908314
95,HT40-SGI-MCS5,20,100,18.95425033564461,19.105870898651137,-0.7935810087423559
95,HT40-SGI-MCS5,20,nodelay,19.3161544247818,19.350809707037733,-0.17908957186080604
95,HT40-SGI-MCS5,50,10,48.56898728631216,48.68542892980079,-0.2391714442046537
95,HT40-SGI-MCS5,50,50,43.90902313329453,43.68706179159448,0.5080711144157506
95,HT40-SGI-MCS5,50,100,47.788701699558096,47.614024847508865,0.3668600850456564
95,HT40-SGI-MCS5,50,nodelay,47.14891680391294,48.32454639845355,-2.4327793681643977
95,HT40-SGI-MCS5,100,10,80.84013678458253,87.60912286732307,-7.7263484226313075
